Star,[Fe/H],[TiI/Fe],[CaI/Fe],[MgI/Fe],[CuI/Fe],[Al/Mg],[BaII/Fe],[ZnI/Fe],[CeII/Fe],[Mg/Ti],[Y/Ba],[Y/Zn],Teff,logg,vtur,Age,pop,log_S_N
BD-002387,0.11,0.02,-0.07,-0.26,0.03,0.27,-0.08,-0.06,-0.12,-0.28,0.03,0.009999999999999995,4610,4.22,0.44,5.348,thin,1.8808135922807914
BD-010184,-0.34,0.19,0.05,-0.01,0.05,0.33,0,-0.02,-0,-0.2,-0.15,-0.13,4657,4.18,0.37,5.787,thin,1.8512583487190752
BD-012505,-0.07,0.08,-0.07,-0.06,0.07,0.15,-0.15,-0.03,-0.12,-0.14,0.15,0.03,4503,4.13,0.24,5.202,thin,2.2695129442179165
BD-033746,-0.97,0.46,0.36,0.01,-0.05,0.29,-0.14,0.05,0.19,-0.45,0.07,-0.12000000000000001,4486,4.18,0.11,5.012,thick,1.9294189257142926
BD-050484,-0.4,0.29,0.13,0.22,0.03,0.04000000000000001,-0.11,0.02,0.28,-0.06999999999999998,-0.11,-0.24,4548,4.11,0.05,5.846,thick,1.8388490907372552
BD-050578,0.09,0.02,-0.01,-0.03,0.03,0.07,-0.06,-0.04,-0.01,-0.05,0.009999999999999995,-0.010000000000000002,5470,4.39,0.79,3.827,thin,1.845098040014257
BD-053176,0.01,0.07,-0.11,-0.08,0.05,0.2,-0.17,-0.05,-0.12,-0.15000000000000002,0.08000000000000002,-0.039999999999999994,4586,4.22,0.22,5.158,thin,2.0718820073061255
BD-053596,-0.3,0.12,0.01,-0.11,-0.08,0.33,0.03,-0.07,0.12,-0.22999999999999998,0,0.1,4499,4.25,0.23,5.226,thin,1.9867717342662448
BD-060904,-0.17,0.13,0.05,0.08,0.05,0.020000000000000004,0.04,0.13,0.18,-0.05,0,-0.09,5025,4.43,0.28,6.052,thin,1.9912260756924949
BD-063481,-0.13,0.02,-0.09,-0.07,0.06,0.12000000000000001,-0.09,-0,0.04,-0.09000000000000001,0,-0.09,4690,4.23,0.3,6.470,thin,2.2624510897304293
BD-064196,-0.04,0.02,-0.08,-0.08,-0.03,0.12,-0.04,-0.09,0.14,-0.1,0.13,0.18,4642,4.27,0.35,5.644,thin,1.9912260756924949
BD-064756,-0.2,0.07,-0.02,-0.03,0.01,0,0.01,-0.13,-0.1,-0.1,-0.05,0.09,4502,4.26,0.49,5.134,thin,2.110589710299249
BD-082534,-0.78,0.25,0.26,0.26,-0.07,-0.14,-0.06,0.11,-0.05,0.010000000000000009,-0.05,-0.22,5405,4.43,0.41,13.108,thick,2.0827853703164503
BD-082823,-0.04,0.03,-0,-0.19,0.07,0.24,-0.1,-0.08,-0.09,-0.22,0.060000000000000005,0.04,4672,4.33,0.55,5.012,thin,2.7649229846498886
BD-084501,-1.39,0.58,0.37,0.29,9.99,9.700000000000001,-0.1,0.04,9.99,-0.29,0.08,-0.06,6216,4.81,2.36,2.954,halo,2.0043213737826426
BD-090872,-0.12,0.08,0,-0.14,-0.09,0.06000000000000001,0.05,-0.23,0.15,-0.22000000000000003,-0.030000000000000002,0.25,4592,4.3,0.45,5.057,thin,1.8260748027008264
BD-091261,-0.76,0.29,0.14,-0.04,0.03,0.29,-0.09,-0.07,0.41,-0.32999999999999996,0.03,0.010000000000000009,4471,4.39,0.18,5.185,thin,2.2430380486862944
BD-092670,-0.07,0.06,-0.04,-0.05,-0.01,0.030000000000000002,0.01,0,0.05,-0.11,0,0.01,4657,4.25,0.24,6.215,thin,1.8325089127062364
BD-094191,-0.29,0.18,0.03,-0.11,-0.05,0.22,-0.03,-0.1,0.04,-0.29,0.07,0.14,4718,4.33,0,6.650,thin,1.9637878273455553
BD-112763,-0.28,0.12,-0,0.04,-0.03,0.04,0.06,-0.01,0.24,-0.07999999999999999,0,0.06999999999999999,4865,4.41,0.32,5.852,thin,2.093421685162235
BD-130321,0.08,0.03,-0.1,-0.11,0.1,0.26,-0.15,-0.04,-0.26,-0.14,0.01999999999999999,-0.09,4571,4.2,0.39,5.240,thin,2.3729120029701067
BD-131161,0.09,0.03,-0.02,0.04,0.05,0.32,-0.06,-0.03,0.05,0.010000000000000002,0.049999999999999996,0.019999999999999997,5389,4.37,0.68,5.346,thin,2.0253058652647704
